display  D   display_settings.c:191  debug_display_settings           [   0.11194] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11194] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11195] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11196] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11197] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11197] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11198] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11199] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11200] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11201] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11201] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11202] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11203] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11204] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11204] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11205] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11206] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11207] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11207] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11208] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11209] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11210] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11210] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11211] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11212] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11213] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11213] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11214] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11215] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11216] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11217] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11217] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11218] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11219] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11220] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11221] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11221] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11222] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11223] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11224] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11224] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
